subject,T2,Lag,Unnamed: 0,trialnumber,trialOnset,T1,T1cat,T2cat,posT1,posT2,onsetT1,onsetT2,trgT1,trgT2,rtT1,answerT1,rtT2,answerT2,runNo,blockNo,HitT1,HitT2,ABM
1,1,Lag 2,42.1,27.3,213.28597999999997,24.5,4.5,1.0,11.0,13.0,215.59088000000003,215.79083,34.5,111.0,0.6750773999999999,1.9,0.5900675,2.6,7.0,1.0,1.0,0.5,0.40909090909090906
1,2,Lag 2,57.75,31.833333333333332,290.86017499999997,28.416666666666668,5.25,1.0,11.0,13.0,293.15171666666663,293.3517,38.416666666666664,112.0,0.6746880833333334,2.0833333333333335,0.5350514166666667,2.5833333333333335,7.5,1.0,1.0,0.9166666666666666,0.08333333333333337
1,3,Lag 2,57.45454545454545,20.454545454545453,290.5942818181818,26.636363636363637,4.909090909090909,1.0,11.0,13.0,292.8865909090909,293.08655454545453,36.63636363636363,113.0,0.8045130909090908,2.1818181818181817,0.5804374545454546,2.272727272727273,7.2727272727272725,1.0,1.0,0.7272727272727273,0.2727272727272727
1,4,Lag 2,57.0,22.4,287.37534999999997,26.2,4.6,1.0,11.0,13.0,289.67354,289.87352999999996,36.2,114.0,0.668728,1.8,0.7168547999999999,3.4,7.2,1.0,1.0,0.3,0.5
1,5,Lag 2,31.545454545454547,22.09090909090909,159.49438181818184,31.90909090909091,5.636363636363637,1.0,11.0,13.0,161.8230363636364,162.0230181818182,41.90909090909091,115.0,0.7462617272727272,1.7272727272727273,0.7295459090909091,3.0,7.636363636363637,1.0,1.0,0.5454545454545454,0.4545454545454546
1,6,Lag 2,50.111111111111114,18.555555555555557,251.10376666666667,33.333333333333336,6.0,1.0,11.0,13.0,253.4017555555556,253.60176666666666,43.333333333333336,116.0,0.7561544444444444,2.0,0.9301272222222222,2.5555555555555554,6.555555555555555,1.0,1.0,0.8888888888888888,0.11111111111111116
1,7,Lag 2,44.5,26.583333333333332,224.29716666666664,25.75,4.75,2.0,11.0,13.0,226.62061666666668,226.82061666666664,35.75,117.0,0.7123114999999999,1.75,0.59830025,2.25,7.5,1.0,1.0,0.8333333333333334,-0.08333333333333337
1,8,Lag 2,56.0,22.90909090909091,280.5807181818182,14.181818181818182,2.909090909090909,2.0,11.0,13.0,282.8609,283.0608818181818,24.181818181818183,118.0,0.6300381818181818,2.0,0.5191097272727273,2.090909090909091,8.0,1.0,1.0,0.8181818181818182,0.0
1,9,Lag 2,28.818181818181817,21.272727272727273,145.1884,25.09090909090909,4.545454545454546,2.0,11.0,13.0,147.49735454545456,147.69734545454546,35.09090909090909,119.0,0.7154412727272728,2.272727272727273,0.6332109090909092,3.1818181818181817,7.454545454545454,1.0,1.0,0.5454545454545454,0.3712121212121212
1,10,Lag 2,51.45454545454545,23.818181818181817,259.28541818181816,31.818181818181817,5.7272727272727275,2.0,11.0,13.0,261.55040909090906,261.75037272727275,41.81818181818182,120.0,0.6650939090909092,2.0,0.6204414545454546,3.1818181818181817,7.2727272727272725,1.0,1.0,0.36363636363636365,0.6363636363636364
1,11,Lag 2,45.2,16.6,228.89124999999999,35.3,6.3,2.0,11.0,13.0,231.21277,231.41276000000002,45.3,121.0,0.8329901,2.2,0.662444,2.9,7.7,1.0,1.0,0.6,0.30000000000000004
1,12,Lag 2,39.166666666666664,22.166666666666668,197.27500833333337,23.583333333333332,4.333333333333333,2.0,11.0,13.0,199.58321666666666,199.78321666666662,33.583333333333336,122.0,0.7229981666666667,2.1666666666666665,0.6779938333333332,3.25,7.5,1.0,1.0,0.4166666666666667,0.49999999999999994
1,13,Lag 2,38.6,28.4,192.82443000000004,26.7,4.8,3.0,11.0,13.0,195.10762,195.30760999999998,36.7,123.0,0.7295283,1.7,0.563066,1.9,8.0,1.0,1.0,1.0,0.0
1,14,Lag 2,51.1,26.2,258.79597,31.3,5.6,3.0,11.0,13.0,261.12758999999994,261.32754,41.3,124.0,0.7386265,2.2,0.5207238000000001,2.3,7.4,1.0,1.0,1.0,0.0
1,15,Lag 2,48.55555555555556,23.555555555555557,244.1512666666667,29.77777777777778,5.333333333333333,3.0,11.0,13.0,246.4733444444444,246.67335555555553,39.77777777777778,125.0,0.8488324444444445,2.111111111111111,0.6004273333333333,1.6666666666666667,7.333333333333333,1.0,1.0,1.0,-0.16666666666666663
1,16,Lag 2,47.5,24.75,238.8463583333333,29.666666666666668,5.25,3.0,11.0,13.0,241.15735000000004,241.35732499999997,39.666666666666664,126.0,0.6778815833333334,2.0833333333333335,0.634785,3.3333333333333335,7.5,1.0,1.0,0.3333333333333333,0.25000000000000006
1,17,Lag 2,52.55555555555556,16.22222222222222,264.46436666666665,32.333333333333336,5.777777777777778,3.0,11.0,13.0,266.77164444444446,266.97163333333333,42.333333333333336,127.0,0.5972748888888888,1.8888888888888888,0.5170175555555556,2.0,6.888888888888889,1.0,1.0,1.0,0.0
1,18,Lag 2,45.2,25.3,228.49581999999995,23.6,4.4,3.0,11.0,13.0,230.80237000000002,231.00234,33.6,128.0,0.6097360000000001,2.0,0.5712668,2.4,6.9,1.0,1.0,1.0,-0.08333333333333337
1,19,Lag 2,43.63636363636363,21.272727272727273,221.67889090909094,25.636363636363637,4.7272727272727275,4.0,11.0,13.0,223.96358181818178,224.1635818181818,35.63636363636363,129.0,0.6760105454545454,2.090909090909091,0.5474024545454546,3.5454545454545454,7.636363636363637,1.0,1.0,0.18181818181818182,0.5454545454545454
